UTC time,state,latitude,N/S Indication,longitude,E/W indication,Ground speed,position,date,f2,f3
170431.700,A,54.6590492,N,020.6531342,E,0.000,26.58,190425,1.133,1.138,
170431.800,A,54.6590488,N,020.6531338,E,0.000,26.58,190425,1.134,1.138,
170431.900,A,54.6590485,N,020.6531333,E,0.000,26.58,190425,1.133,1.138,
170432.000,A,54.6590482,N,020.6531330,E,0.000,26.58,190425,1.132,1.137,
170432.100,A,54.6590478,N,020.6531327,E,0.000,26.58,190425,1.133,1.137,
170432.200,A,54.6590473,N,020.6531322,E,0.000,26.58,190425,1.134,1.136,
170432.300,A,54.6590470,N,020.6531317,E,0.000,26.58,190425,1.134,1.138,
170432.400,A,54.6590467,N,020.6531313,E,0.000,26.58,190425,1.135,1.139,
170432.500,A,54.6590463,N,020.6531310,E,0.000,26.58,190425,1.134,1.138,
170432.600,A,54.6590463,N,020.6531308,E,0.000,26.58,190425,1.136,1.140,
170432.700,A,54.6590463,N,020.6531308,E,0.000,26.58,190425,1.135,1.139,
170432.800,A,54.6590463,N,020.6531308,E,0.000,26.58,190425,1.137,1.141,
170432.900,A,54.6590465,N,020.6531312,E,0.000,26.58,190425,1.137,1.140,
170433.000,A,54.6590467,N,020.6531313,E,0.000,26.58,190425,1.134,1.137,
170433.100,A,54.6590468,N,020.6531313,E,0.000,26.58,190425,1.132,1.136,
170433.200,A,54.6590468,N,020.6531315,E,0.000,26.58,190425,1.131,1.136,
170433.300,A,54.6590470,N,020.6531317,E,0.000,26.58,190425,1.132,1.136,
170433.400,A,54.6590470,N,020.6531317,E,0.000,26.58,190425,1.133,1.136,
170433.500,A,54.6590470,N,020.6531315,E,0.000,26.58,190425,1.135,1.138,
170433.600,A,54.6590468,N,020.6531310,E,0.000,26.58,190425,1.134,1.137,
170433.700,A,54.6590467,N,020.6531307,E,0.000,26.58,190425,1.133,1.136,
170433.800,A,54.6590465,N,020.6531303,E,0.000,26.58,190425,1.131,1.135,
170433.900,A,54.6590463,N,020.6531298,E,0.000,26.58,190425,1.131,1.136,
170434.000,A,54.6590463,N,020.6531297,E,0.000,26.58,190425,1.134,1.139,
170434.100,A,54.6590462,N,020.6531293,E,0.000,26.58,190425,1.135,1.139,
170434.200,A,54.6590462,N,020.6531292,E,0.000,26.58,190425,1.134,1.138,
170434.300,A,54.6590462,N,020.6531288,E,0.000,26.58,190425,1.136,1.139,
170434.400,A,54.6590462,N,020.6531287,E,0.000,26.58,190425,1.136,1.140,
170434.500,A,54.6590462,N,020.6531285,E,0.000,26.58,190425,1.134,1.138,
170434.600,A,54.6590462,N,020.6531283,E,0.000,26.58,190425,1.134,1.138,
170434.700,A,54.6590462,N,020.6531282,E,0.000,26.58,190425,1.133,1.137,
170434.800,A,54.6590463,N,020.6531280,E,0.000,26.58,190425,1.132,1.137,
170434.900,A,54.6590462,N,020.6531278,E,0.000,26.58,190425,1.134,1.139,
170435.000,A,54.6590462,N,020.6531277,E,0.000,26.58,190425,1.134,1.138,
170435.100,A,54.6590462,N,020.6531275,E,0.000,26.58,190425,1.133,1.137,
170435.200,A,54.6590463,N,020.6531275,E,0.000,26.58,190425,1.133,1.137,
170435.300,A,54.6590465,N,020.6531273,E,0.000,26.58,190425,1.133,1.138,
170435.400,A,54.6590467,N,020.6531273,E,0.000,26.58,190425,1.133,1.137,
170435.500,A,54.6590467,N,020.6531270,E,0.000,26.58,190425,1.132,1.136,
170435.600,A,54.6590467,N,020.6531268,E,0.000,26.58,190425,1.133,1.137,
170435.700,A,54.6590467,N,020.6531263,E,0.000,26.58,190425,1.134,1.138,
170435.800,A,54.6590465,N,020.6531260,E,0.000,26.58,190425,1.136,1.139,
170435.900,A,54.6590467,N,020.6531257,E,0.000,26.58,190425,1.135,1.140,
170436.000,A,54.6590467,N,020.6531255,E,0.000,26.58,190425,1.136,1.139,
170436.100,A,54.6590467,N,020.6531252,E,0.000,26.58,190425,1.135,1.140,
170436.200,A,54.6590468,N,020.6531248,E,0.000,26.58,190425,1.135,1.139,
170436.300,A,54.6590468,N,020.6531243,E,0.000,26.58,190425,1.134,1.138,
170436.400,A,54.6590468,N,020.6531240,E,0.000,26.58,190425,1.132,1.136,
170436.500,A,54.6590468,N,020.6531237,E,0.000,26.58,190425,1.131,1.136,
170436.600,A,54.6590468,N,020.6531232,E,0.000,26.58,190425,1.134,1.138,
170436.700,A,54.6590467,N,020.6531227,E,0.000,26.58,190425,1.135,1.140,
170436.800,A,54.6590467,N,020.6531222,E,0.000,26.58,190425,1.135,1.139,
170436.900,A,54.6590467,N,020.6531218,E,0.000,26.58,190425,1.136,1.140,
170437.000,A,54.6590467,N,020.6531213,E,0.000,26.58,190425,1.135,1.138,
170437.100,A,54.6590467,N,020.6531208,E,0.000,26.58,190425,1.133,1.137,
170437.200,A,54.6590467,N,020.6531205,E,0.000,26.58,190425,1.132,1.136,
170437.300,A,54.6590467,N,020.6531202,E,0.000,26.58,190425,1.132,1.137,
170437.400,A,54.6590467,N,020.6531198,E,0.000,26.58,190425,1.134,1.138,
170437.500,A,54.6590467,N,020.6531195,E,0.000,26.58,190425,1.136,1.140,
170437.600,A,54.6590468,N,020.6531195,E,0.000,26.58,190425,1.135,1.138,
170437.700,A,54.6590470,N,020.6531193,E,0.000,26.58,190425,1.134,1.138,
170437.800,A,54.6590473,N,020.6531197,E,0.000,26.58,190425,1.133,1.137,
170437.900,A,54.6590475,N,020.6531200,E,0.000,26.58,190425,1.133,1.136,
170438.000,A,54.6590477,N,020.6531198,E,0.000,26.58,190425,1.131,1.137,
170438.100,A,54.6590478,N,020.6531198,E,0.000,26.58,190425,1.132,1.136,
170438.200,A,54.6590480,N,020.6531198,E,0.000,26.58,190425,1.132,1.136,
170438.300,A,54.6590482,N,020.6531198,E,0.000,26.58,190425,1.133,1.137,
170438.400,A,54.6590483,N,020.6531197,E,0.000,26.58,190425,1.132,1.136,
170438.500,A,54.6590485,N,020.6531197,E,0.000,26.58,190425,1.134,1.138,
170438.600,A,54.6590487,N,020.6531195,E,0.000,26.58,190425,1.135,1.138,
170438.700,A,54.6590488,N,020.6531193,E,0.000,26.58,190425,1.137,1.140,
170438.800,A,54.6590488,N,020.6531190,E,0.000,26.58,190425,1.134,1.138,
170438.900,A,54.6590488,N,020.6531188,E,0.000,26.58,190425,1.132,1.136,
170439.000,A,54.6590488,N,020.6531183,E,0.000,26.58,190425,1.132,1.136,
170439.100,A,54.6590490,N,020.6531182,E,0.000,26.58,190425,1.131,1.135,
170439.200,A,54.6590490,N,020.6531178,E,0.000,26.58,190425,1.132,1.136,
170439.300,A,54.6590490,N,020.6531175,E,0.000,26.58,190425,1.133,1.137,
170439.400,A,54.6590492,N,020.6531173,E,0.000,26.58,190425,1.134,1.138,
170439.500,A,54.6590493,N,020.6531173,E,0.000,26.58,190425,1.135,1.139,
170439.600,A,54.6590495,N,020.6531170,E,0.000,26.58,190425,1.134,1.138,
170439.700,A,54.6590495,N,020.6531167,E,0.000,26.58,190425,1.133,1.137,
170439.800,A,54.6590497,N,020.6531167,E,0.000,26.58,190425,1.134,1.138,
170439.900,A,54.6590498,N,020.6531165,E,0.000,26.58,190425,1.137,1.140,
170440.000,A,54.6590500,N,020.6531165,E,0.000,26.58,190425,1.139,1.142,
170440.100,A,54.6590502,N,020.6531165,E,0.000,26.58,190425,1.138,1.141,
170440.200,A,54.6590503,N,020.6531165,E,0.000,26.58,190425,1.138,1.141,
170440.300,A,54.6590507,N,020.6531167,E,0.000,26.58,190425,1.136,1.139,
170440.400,A,54.6590508,N,020.6531167,E,0.000,26.58,190425,1.134,1.138,
170440.500,A,54.6590505,N,020.6531152,E,0.000,26.58,190425,1.132,1.136,
170440.600,A,54.6590505,N,020.6531145,E,0.000,26.58,190425,1.133,1.136,
170440.700,A,54.6590503,N,020.6531135,E,0.000,26.58,190425,1.135,1.138,
170440.800,A,54.6590503,N,020.6531125,E,0.000,26.58,190425,1.134,1.139,
170440.900,A,54.6590500,N,020.6531115,E,0.000,26.58,190425,1.134,1.138,
170441.000,A,54.6590498,N,020.6531105,E,0.000,26.58,190425,1.134,1.137,
170441.100,A,54.6590493,N,020.6531088,E,0.000,26.58,190425,1.134,1.137,
170441.200,A,54.6590488,N,020.6531070,E,0.000,26.58,190425,1.134,1.138,
170441.300,A,54.6590488,N,020.6531060,E,0.000,26.58,190425,1.135,1.139,
170441.400,A,54.6590492,N,020.6531060,E,0.000,26.58,190425,1.137,1.141,
170441.500,A,54.6590497,N,020.6531063,E,0.000,26.58,190425,1.134,1.138,
170441.600,A,54.6590500,N,020.6531065,E,0.000,26.58,190425,1.133,1.138,
170441.700,A,54.6590503,N,020.6531065,E,0.000,26.58,190425,1.133,1.137,
